Date,T2M,TS
5/1/2020,4.53,2.95
5/2/2020,7.36,3.17
5/3/2020,5.97,3.3
5/4/2020,2.85,3.02
5/5/2020,2.55,3.08
5/6/2020,4.96,3.77
5/7/2020,3.64,3.73
5/8/2020,0.44,3
5/9/2020,1.97,3.07
5/10/2020,2.8,3.37
5/11/2020,2.43,3.53
5/12/2020,3.18,3.67
5/13/2020,3.58,3.9
5/14/2020,5.53,4.02
5/15/2020,6.4,4.58
5/16/2020,5.44,4.7
5/17/2020,6.01,4.53
5/18/2020,6.88,4.56
5/19/2020,6.82,4.64
5/20/2020,7.49,5
5/21/2020,7.91,5.41
5/22/2020,9.55,6.05
5/23/2020,7.4,6.22
5/24/2020,10.98,6.72
5/25/2020,11.74,6.93
5/26/2020,12.94,7.21
5/27/2020,12,7.14
5/28/2020,11.75,7.07
5/29/2020,9.82,7.22
5/30/2020,8.29,7.32
5/31/2020,7.81,6.65
6/1/2020,9.73,6.51
6/2/2020,12.24,7.05
6/3/2020,12.13,7.14
6/4/2020,9.8,7.15
6/5/2020,10.91,7.42
6/6/2020,10.32,8.05
6/7/2020,8.83,8.2
6/8/2020,10.96,8.72
6/9/2020,12.66,9.15
6/10/2020,14.78,9.57
6/11/2020,11.76,8.87
6/12/2020,8.33,8.07
6/13/2020,8.66,7.88
6/14/2020,9.36,8.25
6/15/2020,10.63,8.92
6/16/2020,12.51,9.88
6/17/2020,13.58,10.75
6/18/2020,15.44,11.71
6/19/2020,16.07,12.38
6/20/2020,16.65,13.31
6/21/2020,16.65,13.31
6/22/2020,16.36,13.91
6/23/2020,16.32,14.64
6/24/2020,14.86,14.31
6/25/2020,15.84,14.21
6/26/2020,16.58,14.06
6/27/2020,16.44,13.82
6/28/2020,15.37,13.73
6/29/2020,16.02,14.05
6/30/2020,16,14.4
7/1/2020,17.33,15.86
7/2/2020,20.02,17.37
7/3/2020,19.36,17.67
7/4/2020,18.79,17.66
7/5/2020,19.95,18.33
7/6/2020,21.21,19.41
7/7/2020,22.07,20.32
7/8/2020,21.59,20.99
7/9/2020,22.79,21.87
7/10/2020,22.2,21.8
7/11/2020,21.03,21
7/12/2020,19.35,19.69
7/13/2020,19.03,18.46
7/14/2020,19.15,18.26
7/15/2020,20.34,18.48
7/16/2020,19.15,18.51
7/17/2020,20.95,19.42
7/18/2020,21.63,19.7
7/19/2020,21.71,19.67
7/20/2020,19.08,19.16
7/21/2020,18.04,18.95
7/22/2020,19.61,19.19
7/23/2020,19.1,19.3
7/24/2020,19.86,19.8
7/25/2020,21.54,20.57
7/26/2020,22.63,20.99
7/27/2020,22.07,20.92
7/28/2020,21.37,20.73
7/29/2020,20.8,20.8
7/30/2020,20.04,20.85
7/31/2020,20.65,20.94
8/1/2020,21.2,21.1
8/2/2020,20.53,20.89
8/3/2020,18.05,20.44
8/4/2020,17.97,20.15
8/5/2020,18.46,19.75
8/6/2020,19.9,19.92
8/7/2020,20.34,20.28
8/8/2020,21.14,20.65
8/9/2020,22.05,21.16
8/10/2020,22.79,21.73
8/11/2020,21.13,21.37
8/12/2020,21.54,21.44
8/13/2020,21.63,21.72
8/14/2020,22.5,22.15
8/15/2020,22.29,22.11
8/16/2020,21.39,21.87
8/17/2020,21.01,21.76
8/18/2020,19.19,21.26
8/19/2020,19.3,21.06
8/20/2020,21.77,21.24
8/21/2020,21,21.25
8/22/2020,21.68,21.3
8/23/2020,22.34,21.74
8/24/2020,22.57,21.85
8/25/2020,21.35,21.71
8/26/2020,20.94,21.46
8/27/2020,21.62,21.39
8/28/2020,19.52,20.78
8/29/2020,19.4,20.61
8/30/2020,17.69,20.13
8/31/2020,20.02,20.05
